1 dev Id: 22ad4966d9fc20e6a44596429d4c3b6f | Hex Buffer: 4c000908134e0a6d440d1b5816080029869e85be5187 | Primer Entero: 134807628 
2 dev Id: d0014337efd0e0886e1353c3dae202a1 | Hex Buffer: 0600010920223341c3e2fa37ba04441ad2d17bbf455980788623f6210c | Primer Entero: 151060486 
3 dev Id: 00bce30255bc2df69657db3373db1a54 | Hex Buffer: 4c0012023101 | Primer Entero: 34734156 
5 dev Id: 35837e90d8daf39b21d3ac1619039781 | Hex Buffer: 4c000c0e00f5ed08be8d82619bad2f6c69411006461d37b77368 | Primer Entero: 235667532 
4 dev Id: be7a9336f0486ff41b6d2b23f7d629a9 | Hex Buffer: 4c00160800210e55709d8877 | Primer Entero: 135659596 
6 dev Id: ac88100b24ff901212c1ecd2a3abf84a | Hex Buffer: 4c001608009f85c8ab74e419 | Primer Entero: 135659596 
7 dev Id: f751d3785833956afd9f8b468bb1762a | Hex Buffer: 4c001006411db384db18 | Primer Entero: 101711948 
10 dev Id: 51eeda560f711ae0bb67b1503d145b07 | Hex Buffer: 060001092022563b784f8263fec0ca5782c195aec7ee29e90ecf8b1814 | Primer Entero: 151060486 
11 dev Id: aca8167293f8dbdcd1a0765066a38d23 | Hex Buffer: 4c000c0e00f5ed08be8d82619bad2f6c69411006461d37b77368 | Primer Entero: 235667532 
9 dev Id: 6b5432f632a63d6dd11e00faecad91de | Hex Buffer: 4c00100541180c94a8 | Primer Entero: 84934732 
8 dev Id: 21f316da08c66c7f80fad1beebf676e9 | Hex Buffer: 4c001608007ee2c476d64fdd | Primer Entero: 135659596 
12 dev Id: 9412d2b5344c97654f988032e20bd95e | Hex Buffer: 4c0012020001 | Primer Entero: 34734156 
13 dev Id: 1c15a45a585b5dd45b00c79097622fd6 | Hex Buffer: 4c000c0e080b7d8d8dfa3b357203d455d26b10064e1d048e9c18 | Primer Entero: 235667532 
14 dev Id: 942cd24bea9f1d4af9855d6585dbb30f | Hex Buffer: 4c00160800d9f080bcc82d14 | Primer Entero: 135659596 
15 dev Id: 7e445cd01db8a010f073948f89901f8d | Hex Buffer: 4c000c0e000cd7b2d56ccc1a5268e603058a10064a1d2b3fc708 | Primer Entero: 235667532 
16 dev Id: 8690f0617077f7c366edfed4c317f657 | Hex Buffer: 0600010f2022306f18bdd3dfedcf584371742f43932b00e59e49bb686e | Primer Entero: 251723782 
17 dev Id: 3e0c3b8b89d08430ba8de1983bd91931 | Hex Buffer: 4c0010052c1870f237 | Primer Entero: 84934732 
18 dev Id: 6d94370540a20e8728ba8680ccdd70b3 | Hex Buffer: 4c00160800795a8fb5105d86 | Primer Entero: 135659596 
19 dev Id: 80529bce7ff1bd8090f5bbae94cd1e1d | Hex Buffer: 4c00160800b4db5cd11257d5 | Primer Entero: 135659596 
20 dev Id: 59543cd149d374efbc721b85b6e302e8 | Hex Buffer: 4c000908130c0a6d44b51b581608002bc77bdc95060d | Primer Entero: 134807628 
21 dev Id: 87f3c8e5eb982f5dfb172efae0b8dd60 | Hex Buffer: 4c00090813060a6d44891b581608008bd248d4db5b8c | Primer Entero: 134807628 
22 dev Id: c6afc87d8bd14d91ec2cd3db11d90abb | Hex Buffer: 4c00160800c5627668c14fd5 | Primer Entero: 135659596 
23 dev Id: afa38c1769e177b1d4ec084efad5410e | Hex Buffer: 4c000c0e000cd7b2d56ccc1a5268e603058a10064a1d2b3fc708 | Primer Entero: 235667532 
24 dev Id: 9cfa38ca6218630ed11bc7816d2aaf20 | Hex Buffer: 4c001006491d95dcba48 | Primer Entero: 101711948 
25 dev Id: f5e19e267bf60872c471b6df6e51d1f3 | Hex Buffer: 4c0010062a1e65881301 | Primer Entero: 101711948 
26 dev Id: 5d8c45cefa50ee76d40fe5529cbf84d7 | Hex Buffer: 4c00150501263c793b | Primer Entero: 85262412 
27 dev Id: 489e5d4547c1e5f6856e866aaf177d3f | Hex Buffer: 4c001608009d8d058c8ae989 | Primer Entero: 135659596 
28 dev Id: 8e1a1b5fdfb55236b8b5d0bba898192d | Hex Buffer: 0600010920228c66cbe6a7063db41397a7359f17ccfa8493679b6818df | Primer Entero: 151060486 
